river,riverLabel,countryLabel,length,sourceLabel,mouthLabel
http://www.wikidata.org/entity/Q7124470,Q7124470,Индонезия,136250,Q24982897,Томини
http://www.wikidata.org/entity/Q3392,Нил,Египет,6650,Голубой Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Эфиопия,6650,Голубой Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Южный Судан,6650,Голубой Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Бурунди,6650,Голубой Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Уганда,6650,Голубой Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Руанда,6650,Голубой Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Судан,6650,Голубой Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Египет,6650,Белый Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Эфиопия,6650,Белый Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Южный Судан,6650,Белый Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Бурунди,6650,Белый Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Уганда,6650,Белый Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Руанда,6650,Белый Нил,Средиземное море
http://www.wikidata.org/entity/Q3392,Нил,Судан,6650,Белый Нил,Средиземное море
http://www.wikidata.org/entity/Q3783,Амазонка,Бразилия,6400,Мараньон,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,Бразилия,6400,Укаяли,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,Перу,6400,Мараньон,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,Перу,6400,Укаяли,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,Колумбия,6400,Мараньон,Атлантический океан
http://www.wikidata.org/entity/Q3783,Амазонка,Колумбия,6400,Укаяли,Атлантический океан
http://www.wikidata.org/entity/Q5413,Янцзы,Китай,6300,Тибетское нагорье,Восточно-Китайское море
http://www.wikidata.org/entity/Q5413,Янцзы,Китай,6300,Q15913751,Восточно-Китайское море
http://www.wikidata.org/entity/Q855309,Q855309,Индонезия,5806,Q12478060,Арафурское море
http://www.wikidata.org/entity/Q7355,Хуанхэ,Китай,5464,Баян-Хара-Ула,Бохайский залив
http://www.wikidata.org/entity/Q7355,Хуанхэ,Китай,5464,Q10909855,Бохайский залив
http://www.wikidata.org/entity/Q127892,Парана,Бразилия,4880,Риу-Гранди,Ла-Плата
http://www.wikidata.org/entity/Q127892,Парана,Аргентина,4880,Риу-Гранди,Ла-Плата
http://www.wikidata.org/entity/Q127892,Парана,Парагвай,4880,Риу-Гранди,Ла-Плата
http://www.wikidata.org/entity/Q127892,Парана,Бразилия,4880,Карнейринью,Ла-Плата
http://www.wikidata.org/entity/Q127892,Парана,Аргентина,4880,Карнейринью,Ла-Плата
http://www.wikidata.org/entity/Q127892,Парана,Парагвай,4880,Карнейринью,Ла-Плата
http://www.wikidata.org/entity/Q127892,Парана,Бразилия,4880,Риу-Паранаиба,Ла-Плата
http://www.wikidata.org/entity/Q127892,Парана,Аргентина,4880,Риу-Паранаиба,Ла-Плата
http://www.wikidata.org/entity/Q127892,Парана,Парагвай,4880,Риу-Паранаиба,Ла-Плата
http://www.wikidata.org/entity/Q3503,Конго,Ангола,4700,Бойома,Атлантический океан
http://www.wikidata.org/entity/Q3503,Конго,Замбия,4700,Бойома,Атлантический океан
http://www.wikidata.org/entity/Q3503,Конго,Республика Конго,4700,Бойома,Атлантический океан
http://www.wikidata.org/entity/Q3503,Конго,Демократическая Республика Конго,4700,Бойома,Атлантический океан
http://www.wikidata.org/entity/Q3503,Конго,Ангола,4700,Луалаба,Атлантический океан
http://www.wikidata.org/entity/Q3503,Конго,Замбия,4700,Луалаба,Атлантический океан
http://www.wikidata.org/entity/Q3503,Конго,Республика Конго,4700,Луалаба,Атлантический океан
http://www.wikidata.org/entity/Q3503,Конго,Демократическая Республика Конго,4700,Луалаба,Атлантический океан
http://www.wikidata.org/entity/Q41179,Меконг,Китай,4350,Тибетское нагорье,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Камбоджа,4350,Тибетское нагорье,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Лаос,4350,Тибетское нагорье,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Мьянма,4350,Тибетское нагорье,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Таиланд,4350,Тибетское нагорье,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Вьетнам,4350,Тибетское нагорье,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Китай,4350,Q116686210,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Камбоджа,4350,Q116686210,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Лаос,4350,Q116686210,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Мьянма,4350,Q116686210,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Таиланд,4350,Q116686210,Южно-Китайское море
http://www.wikidata.org/entity/Q41179,Меконг,Вьетнам,4350,Q116686210,Южно-Китайское море
http://www.wikidata.org/entity/Q46841,Лена,Россия,4294,Байкальский хребет,море Лаптевых
http://www.wikidata.org/entity/Q128102,Иртыш,Китай,4248,Монгольский Алтай,Обь
http://www.wikidata.org/entity/Q128102,Иртыш,Россия,4248,Монгольский Алтай,Обь
http://www.wikidata.org/entity/Q128102,Иртыш,Казахстан,4248,Монгольский Алтай,Обь
http://www.wikidata.org/entity/Q3542,Нигер,Мали,4180,Фута-Джаллон,Гвинейский залив
http://www.wikidata.org/entity/Q3542,Нигер,Бенин,4180,Фута-Джаллон,Гвинейский залив
http://www.wikidata.org/entity/Q3542,Нигер,Гвинея,4180,Фута-Джаллон,Гвинейский залив
http://www.wikidata.org/entity/Q3542,Нигер,Нигер,4180,Фута-Джаллон,Гвинейский залив
http://www.wikidata.org/entity/Q3542,Нигер,Нигерия,4180,Фута-Джаллон,Гвинейский залив
http://www.wikidata.org/entity/Q1497,Миссисипи,США,3766,Айтаска,Мексиканский залив
http://www.wikidata.org/entity/Q973,Обь,Россия,3650,Катунь,Карское море
http://www.wikidata.org/entity/Q626,Волга,Россия,3530,Валдайская возвышенность,Каспийское море
http://www.wikidata.org/entity/Q626,Волга,Россия,3530,Валдайская возвышенность,Кама
