river,riverLabel,countryLabel,length,sourceLabel,mouthLabel
http://www.wikidata.org/entity/Q272074,Снейк,США,1735,Йеллоустонский национальный парк,Колумбия
http://www.wikidata.org/entity/Q1279982,Куараи,Уругвай,351,Бразилия,Уругвай
http://www.wikidata.org/entity/Q1279982,Куараи,Бразилия,351,Бразилия,Уругвай
http://www.wikidata.org/entity/Q784682,Сож,Россия,648,Россия,Днепр
http://www.wikidata.org/entity/Q1279982,Куараи,Уругвай,351,Бразилия,Уругвай
http://www.wikidata.org/entity/Q1279982,Куараи,Уругвай,351,Бразилия,Уругвай
http://www.wikidata.org/entity/Q1279982,Куараи,Уругвай,351,Бразилия,Уругвай
http://www.wikidata.org/entity/Q1279982,Куараи,Уругвай,351,Бразилия,Уругвай
http://www.wikidata.org/entity/Q1141201,Кросс,Нигерия,489,Камерун,Гвинейский залив
http://www.wikidata.org/entity/Q78707,Енисей,Россия,3487,Тыва,Карское море
http://www.wikidata.org/entity/Q78707,Енисей,Россия,3487,Тыва,Енисейский залив
http://www.wikidata.org/entity/Q1542610,Джеймс,США,1143,Небраска,Миссури
http://www.wikidata.org/entity/Q3047,Саскачеван,Канада,547,Саут-Саскачеван,Виннипег
http://www.wikidata.org/entity/Q1133858,Молога,Россия,456,Тверская область,Рыбинское водохранилище
http://www.wikidata.org/entity/Q3047,Саскачеван,Канада,547,Норт-Саскачеван,Виннипег
http://www.wikidata.org/entity/Q134750,река Святого Лаврентия,Канада,1197,Онтарио,Залив Святого Лаврентия
http://www.wikidata.org/entity/Q134750,река Святого Лаврентия,Канада,3058,Онтарио,Залив Святого Лаврентия
http://www.wikidata.org/entity/Q134750,река Святого Лаврентия,США,1197,Онтарио,Залив Святого Лаврентия
http://www.wikidata.org/entity/Q134750,река Святого Лаврентия,США,3058,Онтарио,Залив Святого Лаврентия
http://www.wikidata.org/entity/Q3292,Нельсон,Канада,644,Виннипег,Гудзонов залив
http://www.wikidata.org/entity/Q738986,Сейм,Россия,696,Белгородская область,Десна
http://www.wikidata.org/entity/Q9322790,Рашид,Египет,325,Нил,Средиземное море
http://www.wikidata.org/entity/Q637310,Вашка,Россия,605,Республика Коми,Мезень
http://www.wikidata.org/entity/Q12556970,Клязьма,Россия,686,Московская область,Ока
http://www.wikidata.org/entity/Q844041,Ворскла,Россия,464,Белгородская область,Днепр
http://www.wikidata.org/entity/Q949183,Тунгабхадра,Индия,710,Западные Гхаты,Кришна
http://www.wikidata.org/entity/Q1535189,Медведица,Россия,745,Саратовская область,Дон
http://www.wikidata.org/entity/Q1500276,Parapetí River,Боливия,473,Анды,Itonomas River
http://www.wikidata.org/entity/Q3411,Маккензи,Канада,1738,Большое Невольничье озеро,Море Бофорта
http://www.wikidata.org/entity/Q2279579,Шире,Мозамбик,402,Ньяса,Замбези
http://www.wikidata.org/entity/Q271025,Нечако,Канада,462,Скалистые горы,Фрейзер
http://www.wikidata.org/entity/Q597753,Канейдиан-Ривер,США,1458,Скалистые горы,Арканзас
http://www.wikidata.org/entity/Q1514985,Олдмен,Канада,445,Скалистые горы,Саут-Саскачеван
http://www.wikidata.org/entity/Q1132165,Свияга,Россия,375,Ульяновская область,Волга
http://www.wikidata.org/entity/Q559283,Яркенд,Китай,858,Каракорум,Тарим
